Postalcode,Borough,Neighbourhood,Latitude,Longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
M6R,West Toronto,"Parkdale, Roncesvalles",43.64896,-79.456325,Gift Shop,Dessert Shop,Cuban Restaurant,Breakfast Spot,Eastern European Restaurant,Italian Restaurant,Dog Run,Bar,Bank,Restaurant
M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richv...",43.688905,-79.554724,Park,Pizza Place,Bus Line,Mobile Phone Shop,Eastern European Restaurant,Electronics Store,Dumpling Restaurant,Drugstore,Donut Shop,Deli / Bodega
M1S,Scarborough,Agincourt,43.7942,-79.262029,Latin American Restaurant,Skating Rink,Lounge,Clothing Store,Breakfast Spot,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run
M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter",43.781638,-79.304302,Pizza Place,Shopping Mall,Fast Food Restaurant,Fried Chicken Joint,Thai Restaurant,Italian Restaurant,Convenience Store,Chinese Restaurant,Pharmacy,Noodle House
M4T,Central Toronto,"Moore Park, Summerhill East",43.689574,-79.38316,Playground,Intersection,Restaurant,Yoga Studio,Dog Run,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, St...",43.815252,-79.284577,Park,Arts & Crafts Store,Playground,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Donut Shop
M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbo...",43.628947,-79.39442,Airport Terminal,Airport Lounge,Airport Service,Sculpture Garden,Rental Car Location,Boat or Ferry,Harbor / Marina,Boutique,Bar,Airport Gate
M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, ...",43.739416,-79.588437,Grocery Store,Fried Chicken Joint,Fast Food Restaurant,Pharmacy,Video Store,Beer Store,Pizza Place,Sandwich Place,Dog Run,Dessert Shop
M1W,Scarborough,L'Amoreaux West,43.799525,-79.318389,Fast Food Restaurant,Chinese Restaurant,Grocery Store,Thrift / Vintage Store,Gym,Pharmacy,Pizza Place,Sandwich Place,Bubble Tea Shop,Breakfast Spot
M4W,Downtown Toronto,Rosedale,43.679563,-79.377529,Park,Trail,Playground,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant
M9W,Etobicoke,Northwest,43.706748,-79.594054,Rental Car Location,Bar,Drugstore,Doner Restaurant,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Donut Shop
M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North",43.653654,-79.506944,River,Pool,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Yoga Studio,Deli / Bodega
M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern,43.662744,-79.321558,Smoke Shop,Pizza Place,Skate Park,Brewery,Farmers Market,Spa,Fast Food Restaurant,Burrito Place,Restaurant,Recording Studio
M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park So...",43.636258,-79.498509,Pool,Business Service,Baseball Field,Department Store,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Yoga Studio
M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queen...",43.628841,-79.520999,Grocery Store,Thrift / Vintage Store,Convenience Store,Discount Store,Burrito Place,Burger Joint,Sandwich Place,Social Club,Bakery,Supplement Shop
